labels,text
ham,It's justbeen overa week since we broke up and already our brains are going to mush!
ham,I dont thnk its a wrong calling between us
ham,"[Û_] anyway, many good evenings to u! s"
ham,"Come around  &lt;DECIMAL&gt; pm vikky..i'm otside nw, il come by tht time"
spam,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q="
ham,I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.
ham,I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story)
ham,Are you still playing with gautham?
ham,So no messages. Had food?
ham,Is that what time you want me to come?
ham,K..give back my thanks.
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+"
ham,Enjoy ur life. . Good night
ham,Have a good evening! Ttyl
ham,I have to take exam with march 3
ham,Aiyah ok wat as long as got improve can already wat...
ham,S:-)if we have one good partnership going we will take lead:)
ham,did u get that message
ham,U can call now...
ham,Tell them u have a headache and just want to use 1 hour of sick time.
ham,Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL
ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
ham,What time. IÛ÷m out until prob 3 or so
ham,"\Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx\"""""
ham,"As usual..iam fine, happy &amp; doing well..:)"
ham,Nope watching tv at home... Not going out. V bored...
ham,PS U no ur a grown up now right?
ham,"K, wat s tht incident?"
ham,Are u awake? Is there snow there?
ham,She.s good. She was wondering if you wont say hi but she.s smiling now. So how are you coping with the long distance
ham,You intrepid duo you! Have a great time and see you both soon. 
ham,Am in gobi arts college
spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz
ham,Do I? I thought I put it back in the box
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
ham,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com"
ham,Easy ah?sen got selected means its good..
ham,I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that
ham,K.k.how is your business now?
ham,Probably earlier than that if the station's where I think it is
ham,"Sorry,in meeting I'll call later"
spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min
ham,"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished"
spam,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or å£250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022"
ham,"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts"
ham,"I'm not smoking while people use \wylie smokes too much\"" to justify ruining my shit"""
spam,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow
ham,Sounds great! Are you home now?
ham,K.then any other special?
ham, what number do u live at? Is it 11?
ham,"\OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX\"""""
spam,Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a å£250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstopå£1.50/week
ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
ham,"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?"
ham,Did u got that persons story
ham,Yeah we do totes. When u wanna?
ham,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..
ham,If I was I wasn't paying attention
ham,"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*"
ham,Then u drive lor.
ham,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...
ham,Y dun cut too short leh. U dun like ah? She failed. She's quite sad.
ham,Shopping lor. Them raining mah hard 2 leave orchard.
ham,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
ham,Ok. So april. Cant wait
ham,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!
ham,"Yes, my reg is  Ciao!"
spam,This is the 2nd time we have tried to contact u. U have won the å£1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm
ham,I told your number to gautham..
spam,Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch 
ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...
ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
ham,Do have a nice day today. I love you so dearly.
ham,Not a drop in the tank
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
ham,Oh k :)why you got job then whats up?
ham,Indeed and by the way it was either or - not both !
ham,"Sorry, I'll call later ok bye"
ham,Hi Harish's rent has been transfred to ur Acnt.
spam,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm"
ham,Do you hide anythiing or keeping distance from me
ham,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz..."
spam,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send \go stop\"" to 89123"""
ham,hanks lotsly!
spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p på£3.99
ham,"Hi, wlcome back, did wonder if you got eaten by a lion or something, nothing much"
ham,Yup
ham,Lol they don't know about my awesome phone. I could click delete right now if I want.
ham,No current and food here. I am alone also
ham,You got job in wipro:)you will get every thing in life in 2 or 3 years.
ham,I will be gentle princess! We will make sweet gentle love...
ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8
ham,Yay! You better not have told that to 5 other girls either.
ham,Esplanade lor. Where else...
ham,Thanks for this hope you had a good day today
ham,Hmmm.but you should give it on one day..
ham,I was about to do it when i texted. I finished a long time ago and showered and er'ything!
ham,I enjoy watching and playing football and basketball. Anything outdoors. And you?
